City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,alesund,62.4723,6.1549,3.52,73,75,2.57,NO,1702176097
297,eyl,7.9803,49.8164,24.11,78,15,6.76,SO,1702176349
298,korce,40.6186,20.7808,1.01,68,35,1.99,AL,1702176349
299,gadzhiyevo,69.2551,33.3362,-14.81,95,58,6.94,RU,1702176349
300,conception bay south,47.4999,-52.9981,1.97,90,100,8.92,CA,1702176350
301,saipan,15.1355,145.701,30.39,70,40,7.2,MP,1702176350
302,letterkenny,54.95,-7.7333,5.82,92,38,3.31,IE,1702176350
303,verkhovazh'ye,60.7472,42.0465,-19.36,81,89,3.76,RU,1702176351
304,sanctuary point,-35.1114,150.629,24.3,90,100,3.43,AU,1702176351
305,udachny,66.4167,112.4,-29.2,82,100,2.2,RU,1702176351
306,hastings,50.8552,0.5729,10.44,79,1,12.83,GB,1702176235
307,lianshan,40.7643,120.8533,-6.32,24,100,8.37,CN,1702176352
308,poso,-1.3959,120.7524,30.87,61,57,1.86,ID,1702176352
309,daoukro,7.0591,-3.9631,20.84,67,14,1.12,CI,1702176352
310,yigo village,13.5361,144.8886,30.62,68,40,5.66,GU,1702176353
311,longyearbyen,78.2186,15.6401,-5.09,63,75,4.63,SJ,1702176262
312,sao felix do xingu,-6.6447,-51.995,23.63,89,22,0.1,BR,1702176353
313,tucuma,-0.1833,-50.05,25.86,85,89,2.46,BR,1702176126
314,pakokku,21.3333,95.1,24.02,77,48,3.59,MM,1702176353
315,san mariano,7.5,126.0,27.34,80,76,2.58,PH,1702176353
316,smidovich,48.6,133.8167,-21.62,81,2,7.94,RU,1702176353
317,tazacorte,28.629,-17.9293,18.97,92,20,4.12,ES,1702176353
318,peniche,39.3558,-9.3811,17.28,96,100,3.69,PT,1702176113
319,lorengau,-2.0226,147.2712,27.0,86,100,5.97,PG,1702176354
320,vernon,50.2581,-119.2691,1.83,91,100,5.14,CA,1702176354
321,san felipe,10.3399,-68.7425,22.49,99,29,0.8,VE,1702176354
322,praia da vitoria,38.7333,-27.0667,19.14,82,40,9.7,PT,1702176354
323,chai badan,15.2,101.1333,32.29,56,67,0.52,TH,1702176354
324,leua,48.2156,18.6071,-0.49,93,100,5.44,SK,1702176354
325,amalapuram,16.5833,82.0167,24.81,78,9,2.13,IN,1702176355
326,ilhabela,-23.7781,-45.3581,21.63,86,97,2.81,BR,1702176355
327,maraba,-5.3686,-49.1178,29.1,79,75,1.03,BR,1702176308
328,awjilah,29.1081,21.2869,13.53,83,100,1.74,LY,1702176355
329,bayanhongor,46.7167,100.1167,-15.81,71,100,0.71,MN,1702176239
330,altay,47.8667,88.1167,-14.79,84,97,1.57,CN,1702176355
331,ust'-kalmanka,52.1207,83.305,-21.69,94,81,1.24,RU,1702176355
332,hassi messaoud,31.6804,6.0729,11.36,49,0,3.01,DZ,1702176356
333,borodulikha,50.7184,80.9295,-26.07,91,8,2.19,KZ,1702176356
334,andergrove,-21.0833,149.1833,30.91,65,36,9.48,AU,1702176356
335,vrutok,41.7686,20.8392,1.91,64,40,2.2,MK,1702176356
336,itamaraca,-7.7478,-34.8256,27.03,73,100,4.72,BR,1702176356
337,jianguang,28.1938,115.7836,19.42,72,99,2.56,CN,1702176356
338,talas,38.6908,35.5538,2.37,93,75,0.51,TR,1702176356
339,vorgashor,67.5833,63.95,-23.5,99,100,2.13,RU,1702176357
340,san patricio,28.017,-97.5169,23.05,39,100,9.31,US,1702176357
341,hamilton,39.1834,-84.5333,11.16,92,100,4.12,US,1702176171
342,roswell,34.0232,-84.3616,15.59,96,100,3.6,US,1702176357
343,tamiahua,21.2667,-97.45,22.5,93,4,2.52,MX,1702176323
344,iskateley,67.6803,53.1512,-27.21,92,12,2.68,RU,1702176357
345,zaozersk,69.4005,32.4476,-16.97,95,50,4.65,RU,1702176357
346,putnam,36.1667,-85.65,14.32,93,100,5.43,US,1702176358
347,ambovombe,-25.1667,46.0833,22.41,83,0,0.36,MG,1702176358
348,al mishkhab,31.8042,44.4911,12.06,49,67,2.48,IQ,1702176358
349,burutu,5.3509,5.5076,25.62,86,3,2.03,NG,1702176358
